3.761201	response.output_text.delta	"DS"
3.857680	response.output_text.delta	"V"
3.899264	response.output_text.delta	"4"
3.936632	response.output_text.delta	"-C"
3.989219	response.output_text.delta	"ACHE"
4.030660	response.output_text.delta	"-P"
4.072347	response.output_text.delta	"ART"
4.109699	response.output_text.delta	"IAL"
4.162028	response.output_text.delta	"-D"
4.203213	response.output_text.delta	"ONE"
4.241020	response.output_text.done	{"content_index": 0, "item_id": "item_67bbd3b9d41c", "output_index": 0, "sequence_number": 13, "text": "DSV4-CACHE-PARTIAL-DONE", "type": "response.output_text.done"}
4.302932	response.completed	{"response": {"created_at": 1784601603, "id": "resp_88ec80bd4fdb", "model": "dealignai/DeepSeek-V4-Flash-JANG-CRACK", "object": "response", "output": [{"content": [{"annotations": [], "text": "DSV4-CACHE-PARTIAL-DONE", "type": "output_text"}], "id": "item_67bbd3b9d41c", "role": "assistant", "status": "completed", "type": "message"}], "output_text": "DSV4-CACHE-PARTIAL-DONE", "status": "completed", "usage": {"input_tokens": 1736, "output_tokens": 11, "total_tokens": 1747}}, "sequence_number": 16, "type": "response.completed"}
SUMMARY	{"elapsed": 4.303309, "event_types": ["response.completed", "response.content_part.added", "response.content_part.done", "response.created", "response.output_item.added", "response.output_item.done", "response.output_text.delta", "response.output_text.done"], "label": "partial", "reasoning_chars": 0, "usage": {"input_tokens": 1736, "output_tokens": 11, "total_tokens": 1747}, "visible": "DSV4-CACHE-PARTIAL-DONE", "warnings": null}
