4.277083	response.output_text.delta	"DS"
4.379685	response.output_text.delta	"V"
4.421120	response.output_text.delta	"4"
4.462413	response.output_text.delta	"-C"
4.499608	response.output_text.delta	"ACHE"
4.552041	response.output_text.delta	"-C"
4.593068	response.output_text.delta	"URRENT"
4.634079	response.output_text.delta	"-D"
4.671437	response.output_text.delta	"ONE"
4.725032	response.output_text.done	{"content_index": 0, "item_id": "item_53242042e800", "output_index": 0, "sequence_number": 12, "text": "DSV4-CACHE-CURRENT-DONE", "type": "response.output_text.done"}
4.787681	response.completed	{"response": {"created_at": 1784601442, "id": "resp_e13d3cac6138", "model": "dealignai/DeepSeek-V4-Flash-JANG-CRACK", "object": "response", "output": [{"content": [{"annotations": [], "text": "DSV4-CACHE-CURRENT-DONE", "type": "output_text"}], "id": "item_53242042e800", "role": "assistant", "status": "completed", "type": "message"}], "output_text": "DSV4-CACHE-CURRENT-DONE", "status": "completed", "usage": {"input_tokens": 1723, "output_tokens": 10, "total_tokens": 1733}}, "sequence_number": 15, "type": "response.completed"}
SUMMARY	{"elapsed": 4.788415, "event_types": ["response.completed", "response.content_part.added", "response.content_part.done", "response.created", "response.output_item.added", "response.output_item.done", "response.output_text.delta", "response.output_text.done"], "label": "cold", "reasoning_chars": 0, "usage": {"input_tokens": 1723, "output_tokens": 10, "total_tokens": 1733}, "visible": "DSV4-CACHE-CURRENT-DONE", "warnings": null}
