1.124693	response.output_text.delta	"DS"
1.230218	response.output_text.delta	"V"
1.271145	response.output_text.delta	"4"
1.311983	response.output_text.delta	"-C"
1.349193	response.output_text.delta	"ACHE"
1.401016	response.output_text.delta	"-C"
1.442050	response.output_text.delta	"URRENT"
1.482977	response.output_text.delta	"-D"
1.520298	response.output_text.delta	"ONE"
1.680119	response.output_text.done	{"content_index": 0, "item_id": "item_9f25bd0cfc14", "output_index": 0, "sequence_number": 12, "text": "DSV4-CACHE-CURRENT-DONE", "type": "response.output_text.done"}
1.681426	response.completed	{"response": {"created_at": 1784601469, "id": "resp_947f974e7210", "model": "dealignai/DeepSeek-V4-Flash-JANG-CRACK", "object": "response", "output": [{"content": [{"annotations": [], "text": "DSV4-CACHE-CURRENT-DONE", "type": "output_text"}], "id": "item_9f25bd0cfc14", "role": "assistant", "status": "completed", "type": "message"}], "output_text": "DSV4-CACHE-CURRENT-DONE", "status": "completed", "usage": {"input_tokens": 1723, "input_tokens_details": {"cache_detail": "paged+dsv4", "cached_tokens": 1722}, "output_tokens": 10, "total_tokens": 1733}}, "sequence_number": 15, "type": "response.completed"}
SUMMARY	{"elapsed": 1.681667, "event_types": ["response.completed", "response.content_part.added", "response.content_part.done", "response.created", "response.output_item.added", "response.output_item.done", "response.output_text.delta", "response.output_text.done"], "label": "warm", "reasoning_chars": 0, "usage": {"input_tokens": 1723, "input_tokens_details": {"cache_detail": "paged+dsv4", "cached_tokens": 1722}, "output_tokens": 10, "total_tokens": 1733}, "visible": "DSV4-CACHE-CURRENT-DONE", "warnings": null}
